Ward Code,nimdm_ward_lgd,official_ward_lgd,SOA Code,SOA Name
95II03,Cairnshill Castlereagh,CAIRNSHILL CASTLEREAGH,95II03S2,Cairnshill 2
95II04,Carrowreagh Castlereagh,CARROWREAGH CASTLEREAGH,95II04S1,Carrowreagh 1
95II04,Carrowreagh Castlereagh,CARROWREAGH CASTLEREAGH,95II04S2,Carrowreagh 2
95II05,Carryduff East Castlereagh,CARRYDUFF EAST CASTLEREAGH,95II05S1,Carryduff East 1
95II05,Carryduff East Castlereagh,CARRYDUFF EAST CASTLEREAGH,95II05S2,Carryduff East 2
95II06,Carryduff West Castlereagh,CARRYDUFF WEST CASTLEREAGH,95II06S1,Carryduff West 1
95II06,Carryduff West Castlereagh,CARRYDUFF WEST CASTLEREAGH,95II06S2,Carryduff West 2
95II07,Cregagh Castlereagh,CREGAGH CASTLEREAGH,95II07W1,Cregagh
95II08,Downshire Castlereagh,DOWNSHIRE CASTLEREAGH,95II08W1,Downshire
95II09,Dundonald Castlereagh,DUNDONALD CASTLEREAGH,95II09S1,Dundonald 1
95II09,Dundonald Castlereagh,DUNDONALD CASTLEREAGH,95II09S2,Dundonald 2
95II10,Enler Castlereagh,ENLER CASTLEREAGH,95II10W1,Enler
95II11,Galwally Castlereagh,GALWALLY CASTLEREAGH,95II11W1,Galwally
95II12,Gilnahirk Castlereagh,GILNAHIRK CASTLEREAGH,95II12W1,Gilnahirk
95II13,Graham's Bridge Castlereagh,GRAHAMS BRIDGE CASTLEREAGH,95II13W1,Graham's Bridge
95II14,Hillfoot Castlereagh,HILLFOOT CASTLEREAGH,95II14W1,Hillfoot
95II15,Knockbracken Castlereagh,KNOCKBRACKEN CASTLEREAGH,95II15S1,Knockbracken 1
95II15,Knockbracken Castlereagh,KNOCKBRACKEN CASTLEREAGH,95II15S2,Knockbracken 2
95II16,Lisnasharragh Castlereagh,LISNASHARRAGH CASTLEREAGH,95II16W1,Lisnasharragh
95II17,Lower Braniel Castlereagh,LOWER BRANIEL CASTLEREAGH,95II17W1,Lower Braniel
95II18,Minnowburn Castlereagh,MINNOWBURN CASTLEREAGH,95II18W1,Minnowburn
95II19,Moneyreagh Castlereagh,MONEYREAGH CASTLEREAGH,95II19S1,Moneyreagh 1
95II19,Moneyreagh Castlereagh,MONEYREAGH CASTLEREAGH,95II19S2,Moneyreagh 2
95II20,Newtownbreda Castlereagh,NEWTOWNBREDA CASTLEREAGH,95II20W1,Newtownbreda
